Sentence #,Word,Tag
Sentence: 13,in,O
Sentence: 13,1,B-qty
Sentence: 13,1/2,I-qty
Sentence: 13,teaspoons,B-unit
Sentence: 13,salt,B-ing
Sentence: 13,1/2,B-qty
Sentence: 13,cup,B-unit
Sentence: 13,warm,O
Sentence: 13,water,B-ing
Sentence: 13,2,B-qty
Sentence: 13,tablespoons,B-unit
Sentence: 13,molasses,B-ing
Sentence: 13,or,B-func
Sentence: 13,1,B-qty
Sentence: 13,cup,B-unit
Sentence: 13,wheat,B-ing
Sentence: 13,flour,I-ing
Sentence: 13,2,B-qty
Sentence: 13,tablespoons,B-unit
Sentence: 13,sugar,B-ing
Sentence: 13,About,O
Sentence: 13,5,B-qty
Sentence: 13,cups,B-unit
Sentence: 13,graham,B-ing
Sentence: 13,flour,I-ing
Sentence: 13,Follow,O
Sentence: 13,general,O
Sentence: 13,directions,O
Sentence: 13,for,O
Sentence: 13,making,O
Sentence: 13,bread,O
Sentence: 13,adding,O
Sentence: 13,only,O
Sentence: 13,the,O
Sentence: 13,white,O
Sentence: 13,flour,O
Sentence: 13,at,O
Sentence: 13,first,O
Sentence: 13,.,O
Sentence: 14,Let,O
Sentence: 14,the,O
Sentence: 14,mass,O
Sentence: 14,stand,O
Sentence: 14,in,O
Sentence: 14,a,O
Sentence: 14,warm,O
Sentence: 14,place,O
Sentence: 14,until,O
Sentence: 14,light,O
Sentence: 14,.,O
Sentence: 15,Stir,O
Sentence: 15,in,O
Sentence: 15,graham,O
Sentence: 15,flour,O
Sentence: 15,to,O
Sentence: 15,make,O
Sentence: 15,a,O
Sentence: 15,stiff,O
Sentence: 15,batter,O
Sentence: 15,.,O
Sentence: 16,Pour,O
Sentence: 16,into,O
Sentence: 16,a,O
Sentence: 16,baking-dish,O
Sentence: 16,and,O
Sentence: 16,when,O
Sentence: 16,it,O
Sentence: 16,has,O
Sentence: 16,almost,O
Sentence: 16,doubled,O
Sentence: 16,in,O
Sentence: 16,bulk,O
Sentence: 16,bake,O
Sentence: 16,for,O
Sentence: 16,one,O
Sentence: 16,hour,O
Sentence: 16,in,O
Sentence: 16,a,O
Sentence: 16,moderate,O
Sentence: 16,oven,O
Sentence: 16,(,O
Sentence: 16,400°,O
Sentence: 16,to,O
Sentence: 16,350°,O
Sentence: 16,F.,O
Sentence: 16,),O
Sentence: 16,.,O
Sentence: 17,If,O
Sentence: 17,a,O
Sentence: 17,less,O
Sentence: 17,moist,O
Sentence: 17,bread,O
Sentence: 17,is,O
Sentence: 17,desired,O
Sentence: 17,enough,O
Sentence: 17,flour,O
Sentence: 17,part,O
Sentence: 17,white,O
Sentence: 17,and,O
Sentence: 17,part,O
Sentence: 17,graham,O
Sentence: 17,may,O
Sentence: 17,be,O
Sentence: 17,used,O
Sentence: 17,to,O
Sentence: 17,make,O
Sentence: 17,a,O
Sentence: 17,dough,O
Sentence: 17,and,O
Sentence: 17,the,O
Sentence: 17,bread,O
Sentence: 17,may,O
Sentence: 17,be,O
Sentence: 17,made,O
Sentence: 17,by,O
Sentence: 17,the,O
Sentence: 17,straight,O
Sentence: 17,dough,O
Sentence: 17,method,O
Sentence: 17,(,O
Sentence: 17,page,O
Sentence: 17,100,O
Sentence: 17,),O
Sentence: 17,.,O
Sentence: 18,SODA,O
Sentence: 18,BISCUIT,O
Sentence: 18,2,B-qty
Sentence: 18,cups,B-unit
Sentence: 18,flour,B-ing
Sentence: 18,1,B-qty
Sentence: 18,teaspoon,B-unit
Sentence: 18,salt,B-ing
Sentence: 18,1/2,B-qty
Sentence: 18,teaspoon,B-unit
Sentence: 18,soda,B-ing
Sentence: 18,2,B-qty
Sentence: 18,tablespoons,B-unit
Sentence: 18,shortening,B-ing
Sentence: 18,1,B-qty
Sentence: 18,cup,B-unit
Sentence: 18,thick,O
Sentence: 18,sour,B-ing
Sentence: 18,milk,I-ing
Sentence: 18,Follow,O
Sentence: 18,directions,O
Sentence: 18,for,O
Sentence: 18,baking-powder,O
Sentence: 18,biscuit,O
Sentence: 18,.,O
Sentence: 19,The,O
Sentence: 19,dough,O
Sentence: 19,should,O
Sentence: 19,be,O
Sentence: 19,stiffer,O
Sentence: 19,than,O
Sentence: 19,for,O
Sentence: 19,baking-powder,O
Sentence: 19,biscuit,O
Sentence: 19,.,O
Sentence: 20,SCONES,O
Sentence: 20,2,B-qty
Sentence: 20,cups,B-unit
Sentence: 20,flour,B-ing
Sentence: 20,4,B-qty
Sentence: 20,tablespoons,B-unit
Sentence: 20,shortening,B-ing
Sentence: 20,4,B-qty
Sentence: 20,teaspoons,B-unit
Sentence: 20,baking-powder,B-ing
Sentence: 20,2/3,B-qty
Sentence: 20,cup,B-unit
Sentence: 20,milk,B-ing
Sentence: 20,1,B-qty
Sentence: 20,teaspoon,B-unit
Sentence: 20,salt,B-ing
Sentence: 20,Mix,O
Sentence: 20,and,O
Sentence: 20,sift,O
Sentence: 20,the,O
Sentence: 20,flour,O
Sentence: 20,baking-powder,O
Sentence: 20,and,O
Sentence: 20,salt,O
Sentence: 20,and,O
Sentence: 20,chop,O
Sentence: 20,in,O
Sentence: 20,the,O
Sentence: 20,shortening,O
Sentence: 20,.,O
Sentence: 21,Add,O
Sentence: 21,sufficient,O
Sentence: 21,milk,O
Sentence: 21,to,O
Sentence: 21,make,O
Sentence: 21,a,O
Sentence: 21,soft,O
Sentence: 21,dough,O
Sentence: 21,.,O
Sentence: 22,Toss,O
Sentence: 22,on,O
Sentence: 22,a,O
Sentence: 22,floured,O
Sentence: 22,board,O
Sentence: 22,and,O
Sentence: 22,roll,O
Sentence: 22,into,O
Sentence: 22,a,O
Sentence: 22,sheet,O
Sentence: 22,one-half,O
Sentence: 22,inch,O
Sentence: 22,thick,O
Sentence: 22,.,O
Sentence: 23,Shape,O
Sentence: 23,with,O
Sentence: 23,a,O
Sentence: 23,small,O
Sentence: 23,round,O
Sentence: 23,cookie-cutter,O
Sentence: 23,.,O
Sentence: 24,Bake,O
Sentence: 24,on,O
Sentence: 24,a,O
Sentence: 24,griddle,O
Sentence: 24,turning,O
Sentence: 24,so,O
Sentence: 24,that,O
Sentence: 24,both,O
Sentence: 24,sides,O
Sentence: 24,are,O
Sentence: 24,cooked,O
Sentence: 24,to,O
Sentence: 24,a,O
Sentence: 24,delicate,O
Sentence: 24,brown,O
Sentence: 24,.,O
Sentence: 25,Lay,O
Sentence: 25,a,O
Sentence: 25,napkin,O
Sentence: 25,on,O
Sentence: 25,a,O
Sentence: 25,plate,O
Sentence: 25,arrange,O
Sentence: 25,the,O
Sentence: 25,scones,O
Sentence: 25,on,O
Sentence: 25,it,O
Sentence: 25,and,O
Sentence: 25,fold,O
Sentence: 25,the,O
Sentence: 25,corners,O
Sentence: 25,of,O
Sentence: 25,the,O
Sentence: 25,napkin,O
Sentence: 25,over,O
Sentence: 25,them,O
Sentence: 25,.,O
Sentence: 26,Split,O
Sentence: 26,and,O
Sentence: 26,butter,O
Sentence: 26,while,O
Sentence: 26,hot,O
Sentence: 26,.,O
Sentence: 27,SALLY,O
Sentence: 27,LUNN,O
Sentence: 27,1/2,B-qty
Sentence: 27,cup,B-unit
Sentence: 27,shortening,B-ing
Sentence: 27,2,B-qty
Sentence: 27,cups,B-unit
Sentence: 27,flour,B-ing
Sentence: 27,1/4,B-qty
Sentence: 27,cup,B-unit
Sentence: 27,sugar,B-ing
Sentence: 27,1,B-qty
Sentence: 27,cup,B-unit
Sentence: 27,milk,B-ing
Sentence: 27,4,B-qty
Sentence: 27,teaspoons,B-unit
Sentence: 27,baking-powder,B-ing
Sentence: 27,1,B-qty
Sentence: 27,egg,B-cont
Sentence: 27,Cream,O
Sentence: 27,the,O
Sentence: 27,shortening,O
Sentence: 27,with,O
Sentence: 27,the,O
Sentence: 27,sugar,O
Sentence: 27,.,O
Sentence: 28,Mix,O
Sentence: 28,and,O
Sentence: 28,sift,O
Sentence: 28,together,O
Sentence: 28,the,O
Sentence: 28,flour,O
Sentence: 28,and,O
Sentence: 28,baking-powder,O
Sentence: 28,and,O
Sentence: 28,add,O
Sentence: 28,to,O
Sentence: 28,the,O
Sentence: 28,creamed,O
Sentence: 28,mixture,O
Sentence: 28,QUICK,O
Sentence: 28,BREADS,O
Sentence: 28,127,O
Sentence: 28,alternating,O
Sentence: 28,with,O
Sentence: 28,the,O
Sentence: 28,milk,O
Sentence: 28,.,O
Sentence: 29,Add,O
Sentence: 29,the,O
Sentence: 29,beaten,O
Sentence: 29,egg,O
Sentence: 29,and,O
Sentence: 29,bake,O
Sentence: 29,in,O
Sentence: 29,a,O
Sentence: 29,loaf,O
Sentence: 29,or,O
Sentence: 29,in,O
Sentence: 29,muffin-pans,O
Sentence: 29,in,O
Sentence: 29,a,O
Sentence: 29,moderate,O
Sentence: 29,oven,O
Sentence: 29,(,O
Sentence: 29,350°-400°,O
Sentence: 29,F.,O
Sentence: 29,),O
Sentence: 29,.,O
Sentence: 30,When,O
Sentence: 30,fresh,O
Sentence: 30,huckleberries,O
Sentence: 30,are,O
Sentence: 30,in,O
Sentence: 30,season,O
Sentence: 30,one,O
Sentence: 30,cup,O
Sentence: 30,stirred,O
Sentence: 30,in,O
Sentence: 30,just,O
Sentence: 30,before,O
Sentence: 30,baking,O
Sentence: 30,will,O
Sentence: 30,be,O
Sentence: 30,an,O
Sentence: 30,agreeable,O
Sentence: 30,addition,O
Sentence: 30,.,O
Sentence: 31,SOUTHERN,O
Sentence: 31,BEATEN,O
Sentence: 31,BISCUIT,O
Sentence: 31,2,B-qty
Sentence: 31,cups,B-unit
Sentence: 31,flour,B-ing
Sentence: 31,1/3,B-qty
Sentence: 31,cup,B-unit
Sentence: 31,shortening,B-ing
Sentence: 31,1,B-qty
Sentence: 31,teaspoon,B-unit
Sentence: 31,salt,B-ing
Sentence: 31,Milk,O
Sentence: 31,Sift,O
Sentence: 31,the,O
Sentence: 31,flour,O
Sentence: 31,with,O
Sentence: 31,the,O
Sentence: 31,salt,O
Sentence: 31,.,O
Sentence: 32,With,O
Sentence: 32,the,O
Sentence: 32,tips,O
Sentence: 32,of,O
Sentence: 32,fingers,O
Sentence: 32,work,O
Sentence: 32,in,O
Sentence: 32,shortening,O
Sentence: 32,and,O
Sentence: 32,moisten,O
Sentence: 32,to,O
Sentence: 32,a,O
Sentence: 32,stiff,O
Sentence: 32,dough,O
Sentence: 32,with,O
Sentence: 32,equal,O
Sentence: 32,quantities,O
Sentence: 32,of,O
Sentence: 32,milk,O
Sentence: 32,and,O
Sentence: 32,water,O
Sentence: 32,mixed,O
Sentence: 32,.,O
Sentence: 33,Place,O
Sentence: 33,on,O
Sentence: 33,floured,O
Sentence: 33,board,O
Sentence: 33,and,O
Sentence: 33,beat,O
Sentence: 33,with,O
Sentence: 33,rolling-pin,O
Sentence: 33,for,O
Sentence: 33,at,O
Sentence: 33,least,O
Sentence: 33,one-half,O
Sentence: 33,hour,O
Sentence: 33,folding,O
Sentence: 33,the,O
Sentence: 33,dough,O
Sentence: 33,every,O
Sentence: 33,few,O
Sentence: 33,minutes,O
Sentence: 33,.,O
Sentence: 34,Roll,O
Sentence: 34,to,O
Sentence: 34,one-third,O
Sentence: 34,inch,O
Sentence: 34,thick,O
Sentence: 34,shape,O
Sentence: 34,with,O
Sentence: 34,a,O
Sentence: 34,biscuit-cutter,O
Sentence: 34,about,O
Sentence: 34,two,O
Sentence: 34,inches,O
Sentence: 34,in,O
Sentence: 34,diameter,O
Sentence: 34,prick,O
Sentence: 34,with,O
Sentence: 34,fork,O
Sentence: 34,and,O
Sentence: 34,place,O
Sentence: 34,on,O
Sentence: 34,greased,O
Sentence: 34,baking-sheet,O
Sentence: 34,or,O
Sentence: 34,inverted,O
Sentence: 34,dripping-pan,O
Sentence: 34,.,O
Sentence: 35,Bake,O
Sentence: 35,twenty,O
Sentence: 35,minutes,O
Sentence: 35,in,O
Sentence: 35,hot,O
Sentence: 35,oven,O
Sentence: 35,(,O
Sentence: 35,400°-425°,O
Sentence: 35,F.,O
Sentence: 35,),O
Sentence: 35,.,O
Sentence: 36,They,O
Sentence: 36,should,O
Sentence: 36,be,O
Sentence: 36,light,O
Sentence: 36,of,O
Sentence: 36,even,O
Sentence: 36,grain,O
Sentence: 36,and,O
Sentence: 36,should,O
Sentence: 36,crack,O
Sentence: 36,at,O
Sentence: 36,the,O
Sentence: 36,edges,O
Sentence: 36,like,O
Sentence: 36,crackers,O
Sentence: 36,.,O
Sentence: 37,SPOON,O
Sentence: 37,CORN,O
Sentence: 37,BREAD,O
Sentence: 37,2,B-qty
Sentence: 37,cups,B-unit
Sentence: 37,water,B-ing
Sentence: 37,1,B-qty
Sentence: 37,tablespoon,B-unit
Sentence: 37,shortening,B-ing
Sentence: 37,1,B-qty
Sentence: 37,cup,B-unit
Sentence: 37,white,B-ing
Sentence: 37,corn-meal,I-ing
Sentence: 37,1,B-qty
Sentence: 37,teaspoon,B-unit
Sentence: 37,salt,B-ing
Sentence: 37,1,B-qty
Sentence: 37,cup,B-unit
Sentence: 37,milk,B-ing
Sentence: 37,2,B-qty
Sentence: 37,eggs,B-cont
Sentence: 37,Mix,O
Sentence: 37,the,O
Sentence: 37,water,O
Sentence: 37,and,O
Sentence: 37,corn-meal,O
Sentence: 37,and,O
Sentence: 37,bring,O
Sentence: 37,slowly,O
Sentence: 37,to,O
Sentence: 37,the,O
Sentence: 37,boil-,O
Sentence: 37,ing-point,O
Sentence: 37,.,O
Sentence: 38,Cook,O
Sentence: 38,five,O
Sentence: 38,minutes,O
Sentence: 38,.,O
Sentence: 39,Add,O
Sentence: 39,the,O
Sentence: 39,milk,O
Sentence: 39,shortening,O
Sentence: 39,salt,O
Sentence: 39,and,O
Sentence: 39,well-beaten,O
Sentence: 39,eggs,O
Sentence: 39,.,O
Sentence: 40,Beat,O
Sentence: 40,thoroughly,O
Sentence: 40,and,O
Sentence: 40,bake,O
Sentence: 40,in,O
Sentence: 40,a,O
Sentence: 40,well-,O
Sentence: 40,greased,O
Sentence: 40,pan,O
Sentence: 40,for,O
Sentence: 40,twenty-five,O
Sentence: 40,minutes,O
Sentence: 40,at,O
Sentence: 40,400°,O
Sentence: 40,F.,O
Sentence: 40,Serve,O
Sentence: 40,from,O
Sentence: 40,the,O
Sentence: 40,same,O
Sentence: 40,dish,O
Sentence: 40,with,O
Sentence: 40,a,O
Sentence: 40,spoon,O
Sentence: 40,.,O
Sentence: 41,SOUTHERN,O
Sentence: 41,SPOON,O
Sentence: 41,BREAD,O
Sentence: 41,1/4,B-qty
Sentence: 41,cup,B-unit
Sentence: 41,of,O
Sentence: 41,chicken,B-ing
Sentence: 41,fat,I-ing
Sentence: 41,1/2,B-qty
Sentence: 41,teaspoon,B-unit
Sentence: 41,salt,B-ing
Sentence: 41,1,B-qty
Sentence: 41,cup,B-unit
Sentence: 41,corn-meal,B-ing
Sentence: 41,2,B-qty
Sentence: 41,eggs,B-cont
Sentence: 41,3,B-qty
Sentence: 41,cups,B-unit
Sentence: 41,boiling,O
Sentence: 41,water,B-ing
Sentence: 41,Add,O
Sentence: 41,fat,O
Sentence: 41,and,O
Sentence: 41,cracklings,O
Sentence: 41,to,O
Sentence: 41,the,O
Sentence: 41,water,O
Sentence: 41,and,O
Sentence: 41,when,O
Sentence: 41,boiling,O
Sentence: 41,sprinkle,O
Sentence: 41,in,O
Sentence: 41,the,O
Sentence: 41,salt,O
Sentence: 41,and,O
Sentence: 41,corn-meal,O
Sentence: 41,stirring,O
Sentence: 41,constantly,O
Sentence: 41,.,O
Sentence: 42,Cook,O
Sentence: 42,in,O
Sentence: 42,a,O
Sentence: 42,double,O
Sentence: 42,boiler,O
Sentence: 42,one,O
Sentence: 42,hour,O
Sentence: 42,cool,O
Sentence: 42,and,O
Sentence: 42,add,O
Sentence: 42,the,O
Sentence: 42,well-beaten,O
Sentence: 42,eggs,O
Sentence: 42,.,O
Sentence: 43,Turn,O
Sentence: 43,into,O
Sentence: 43,a,O
Sentence: 43,greased,O
Sentence: 43,baking-dish,O
Sentence: 43,and,O
Sentence: 43,bake,O
Sentence: 43,in,O
Sentence: 43,a,O
Sentence: 43,moderate,O
Sentence: 43,oven,O
Sentence: 43,(,O
Sentence: 43,350°,O
Sentence: 43,F.,O
Sentence: 43,),O
Sentence: 43,three-fourths,O
Sentence: 43,of,O
Sentence: 43,an,O
Sentence: 43,hour,O
Sentence: 43,.,O
Sentence: 44,I28,O
Sentence: 44,NORTHERN,O
Sentence: 44,JOHNNY,O
Sentence: 44,CAKE,O
Sentence: 44,2,B-qty
Sentence: 44,cups,B-unit
Sentence: 44,corn-meal,B-ing
Sentence: 44,1,B-qty
Sentence: 44,1/2,I-qty
Sentence: 44,teaspoons,B-unit
Sentence: 44,salt,B-ing
Sentence: 44,2,B-qty
Sentence: 44,cups,B-unit
Sentence: 44,sour,B-ing
Sentence: 44,milk,I-ing
Sentence: 44,2,B-qty
Sentence: 44,eggs,B-cont
Sentence: 44,2,B-qty
Sentence: 44,tablespoons,B-unit
Sentence: 44,shortening,B-ing
Sentence: 44,1,B-qty
Sentence: 44,teaspoon,B-unit
Sentence: 44,soda,B-ing
Sentence: 44,2,B-qty
Sentence: 44,tablespoons,B-unit
Sentence: 44,sugar,B-ing
Sentence: 44,white,I-ing
Sentence: 44,or,B-func
Sentence: 44,brown,I-ing
Sentence: 44,1,B-qty
Sentence: 44,tablespoon,B-unit
Sentence: 44,cold,O
Sentence: 44,water,B-ing
Sentence: 44,Cook,O
Sentence: 44,together,O
Sentence: 44,the,O
Sentence: 44,meal,O
Sentence: 44,milk,O
Sentence: 44,shortening,O
Sentence: 44,sugar,O
Sentence: 44,and,O
Sentence: 44,salt,O
Sentence: 44,in,O
Sentence: 44,a,O
Sentence: 44,double,O
Sentence: 44,boiler,O
Sentence: 44,for,O
Sentence: 44,about,O
Sentence: 44,twenty,O
Sentence: 44,minutes,O
Sentence: 44,.,O
Sentence: 45,Allow,O
Sentence: 45,the,O
Sentence: 45,mixture,O
Sentence: 45,to,O
Sentence: 45,cool,O
Sentence: 45,then,O
Sentence: 45,add,O
Sentence: 45,the,O
Sentence: 45,well-beaten,O
Sentence: 45,eggs,O
Sentence: 45,and,O
Sentence: 45,the,O
Sentence: 45,soda,O
Sentence: 45,dissolved,O
Sentence: 45,in,O
Sentence: 45,the,O
Sentence: 45,water,O
Sentence: 45,.,O
Sentence: 46,Bake,O
Sentence: 46,in,O
Sentence: 46,a,O
Sentence: 46,shallow,O
Sentence: 46,iron,O
Sentence: 46,or,O
Sentence: 46,granite,O
Sentence: 46,pan,O
Sentence: 46,for,O
Sentence: 46,about,O
Sentence: 46,thirty,O
Sentence: 46,minutes,O
Sentence: 46,at,O
Sentence: 46,400°,O
Sentence: 46,F.,O
Sentence: 46,In,O
Sentence: 46,case,O
Sentence: 46,there,O
Sentence: 46,is,O
Sentence: 46,not,O
Sentence: 46,time,O
Sentence: 46,to,O
Sentence: 46,cook,O
Sentence: 46,and,O
Sentence: 46,cool,O
Sentence: 46,the,O
Sentence: 46,meal,O
Sentence: 46,the,O
Sentence: 46,fol-,O
Sentence: 46,lowing,O
Sentence: 46,method,O
Sentence: 46,of,O
Sentence: 46,mixing,O
Sentence: 46,may,O
Sentence: 46,be,O
Sentence: 46,used,O
Sentence: 46,.,O
Sentence: 47,Mix,O
Sentence: 47,and,O
Sentence: 47,sift,O
Sentence: 47,together,O
Sentence: 47,the,O
Sentence: 47,meal,O
Sentence: 47,sugar,O
Sentence: 47,salt,O
Sentence: 47,and,O
Sentence: 47,soda,O
Sentence: 47,add,O
Sentence: 47,the,O
Sentence: 47,sour,O
Sentence: 47,milk,O
Sentence: 47,gradually,O
Sentence: 47,then,O
Sentence: 47,the,O
Sentence: 47,well-beaten,O
Sentence: 47,eggs,O
Sentence: 47,and,O
Sentence: 47,the,O
Sentence: 47,melted,O
Sentence: 47,fat,O
Sentence: 47,.,O
Sentence: 48,Bread,O
Sentence: 48,made,O
Sentence: 48,by,O
Sentence: 48,this,O
Sentence: 48,method,O
Sentence: 48,does,O
Sentence: 48,not,O
Sentence: 48,have,O
Sentence: 48,as,O
Sentence: 48,good,O
Sentence: 48,texture,O
Sentence: 48,as,O
Sentence: 48,that,O
Sentence: 48,made,O
Sentence: 48,by,O
Sentence: 48,the,O
Sentence: 48,first,O
Sentence: 48,method,O
Sentence: 48,.,O
Sentence: 49,NEW,O
Sentence: 49,ENGLAND,O
Sentence: 49,CORN,O
Sentence: 49,CAKE,O
Sentence: 49,1,B-qty
Sentence: 49,cup,B-unit
Sentence: 49,corn-meal,B-ing
Sentence: 49,1,B-qty
Sentence: 49,egg,B-cont
Sentence: 49,1,B-qty
Sentence: 49,cup,B-unit
Sentence: 49,white,B-ing
Sentence: 49,flour,I-ing
Sentence: 49,1,B-qty
Sentence: 49,cup,B-unit
Sentence: 49,milk,B-ing
Sentence: 49,3,B-qty
Sentence: 49,teaspoons,B-unit
Sentence: 49,baking-powder,B-ing
Sentence: 49,2,B-qty
Sentence: 49,tablespoons,B-unit
Sentence: 49,melted,O
Sentence: 49,short-,B-ing
Sentence: 49,ening,I-ing
Sentence: 49,2,B-qty
Sentence: 49,tablespoons,B-unit
Sentence: 49,sirup,B-ing
Sentence: 49,Mix,O
Sentence: 49,and,O
Sentence: 49,sift,O
Sentence: 49,the,O
Sentence: 49,dry,O
Sentence: 49,ingredients,O
Sentence: 49,.,O
Sentence: 50,Beat,O
Sentence: 50,the,O
Sentence: 50,egg,O
Sentence: 50,light,O
Sentence: 50,add,O
Sentence: 50,the,O
Sentence: 50,milk,O
Sentence: 50,shortening,O
Sentence: 50,and,O
Sentence: 50,sirup,O
Sentence: 50,.,O
Sentence: 51,Stir,O
Sentence: 51,into,O
Sentence: 51,the,O
Sentence: 51,dry,O
Sentence: 51,mixture,O
Sentence: 51,and,O
Sentence: 51,beat,O
Sentence: 51,well,O
