,ingredient,count,logscore,softmax,
134,meal,31,1.491361694,0.001386432,
135,whites of,30,1.477121255,0.001366829,
136,nut,30,1.477121255,0.001366829,
137,hard,30,1.477121255,0.001366829,
138,salmon,29,1.462397998,0.001346852,
139,figs,29,1.462397998,0.001346852,
140,whole,29,1.462397998,0.001346852,
141,white flour,29,1.462397998,0.001346852,
142,horseradish,28,1.447158031,0.001326482,
143,turnip,28,1.447158031,0.001326482,
144,cheese,27,1.431363764,0.001305695,
145,breadcrumbs,26,1.414973348,0.001284469,
146,peaches,26,1.414973348,0.001284469,
147,tarragon,26,1.414973348,0.001284469,
148,currant,26,1.414973348,0.001284469,
149,grape juice,25,1.397940009,0.001262775,
150,strawberries,25,1.397940009,0.001262775,
151,sweet,25,1.397940009,0.001262775,
152,knox sparkling gelatine,24,1.380211242,0.001240585,
153,knox,24,1.380211242,0.001240585,
154,chinese ham,24,1.380211242,0.001240585,
155,chinese sauce,24,1.380211242,0.001240585,
156,primary soup,24,1.380211242,0.001240585,
157,granulated,24,1.380211242,0.001240585,
158,maraschino cherries,24,1.380211242,0.001240585,
159,cream tartar,24,1.380211242,0.001240585,
160,dry mustard,24,1.380211242,0.001240585,
161,apricots,24,1.380211242,0.001240585,
162,honey,24,1.380211242,0.001240585,
163,corn starch,23,1.361727836,0.001217866,
164,white sauce,23,1.361727836,0.001217866,
165,yolk,23,1.361727836,0.001217866,
166,rum,22,1.342422681,0.00119458,
167,almond extract,22,1.342422681,0.00119458,
168,ham,22,1.342422681,0.00119458,
169,onion juice,22,1.342422681,0.00119458,
170,prunes,22,1.342422681,0.00119458,
171,sirup,22,1.342422681,0.00119458,
172,candied,21,1.322219295,0.001170688,
173,cider,21,1.322219295,0.001170688,
174,bananas,21,1.322219295,0.001170688,
175,cauliflower,21,1.322219295,0.001170688,
176,egg yolk,20,1.301029996,0.001146143,
177,dark molasses,20,1.301029996,0.001146143,
178,green tomatoes,20,1.301029996,0.001146143,
179,cracker crumbs,20,1.301029996,0.001146143,
180,meringue,20,1.301029996,0.001146143,
181,beef,20,1.301029996,0.001146143,
182,sage,20,1.301029996,0.001146143,
183,olives,20,1.301029996,0.001146143,
184,apricot,19,1.278753601,0.001120893,
185,maple sugar,19,1.278753601,0.001120893,
186,fresh,19,1.278753601,0.001120893,
187,oysters,19,1.278753601,0.001120893,
188,pike,18,1.255272505,0.00109488,
189,cinna,18,1.255272505,0.00109488,
190,icing,18,1.255272505,0.00109488,
191,powdered ginger,18,1.255272505,0.00109488,
192,caramel,18,1.255272505,0.00109488,
193,strong,18,1.255272505,0.00109488,
194,#NAME?,18,1.255272505,0.00109488,
195,mashed potatoes,18,1.255272505,0.00109488,
196,apple,18,1.255272505,0.00109488,
197,stale,18,1.255272505,0.00109488,
198,sherry wine,17,1.230448921,0.001068035,
199,cold,17,1.230448921,0.001068035,
200,candies,17,1.230448921,0.001068035,
201,lemon rind,17,1.230448921,0.001068035,
202,spinach,17,1.230448921,0.001068035,
203,boiled rice,17,1.230448921,0.001068035,
204,bacon,17,1.230448921,0.001068035,
205,worcestershire sauce,16,1.204119983,0.001040282,
206,bean sprouts,16,1.204119983,0.001040282,
207,corn meal,16,1.204119983,0.001040282,
208,green peppers,16,1.204119983,0.001040282,
209,ripe,16,1.204119983,0.001040282,
210,cranberries,16,1.204119983,0.001040282,
211,sherry,16,1.204119983,0.001040282,
212,meringues,16,1.204119983,0.001040282,
213,medium,16,1.204119983,0.001040282,
214,unsweetened,16,1.204119983,0.001040282,
215,ground cloves,16,1.204119983,0.001040282,
216,brown stock,16,1.204119983,0.001040282,
217,salad oil,16,1.204119983,0.001040282,
218,dried,16,1.204119983,0.001040282,
219,sultana raisins,15,1.176091259,0.001011529,
220,cooked,15,1.176091259,0.001011529,
221,"cream tartar, ",14,1.146128036,0.00098167,
222,dry mushrooms,14,1.146128036,0.00098167,
223,ginger juice,14,1.146128036,0.00098167,
224,round steak,14,1.146128036,0.00098167,
225,bak ' g powder,14,1.146128036,0.00098167,
226,lamb,14,1.146128036,0.00098167,
227,cabbage,14,1.146128036,0.00098167,
228,mustard seed,14,1.146128036,0.00098167,
229,grape,14,1.146128036,0.00098167,
230,chestnuts,14,1.146128036,0.00098167,
231,ice,14,1.146128036,0.00098167,
232,almond,14,1.146128036,0.00098167,
233,corn sirup,14,1.146128036,0.00098167,
234,marshmallow,14,1.146128036,0.00098167,
235,light,14,1.146128036,0.00098167,
236,maple sirup,14,1.146128036,0.00098167,
237,peanuts,14,1.146128036,0.00098167,
238,cooked rice,14,1.146128036,0.00098167,
239,bread - crumbs,14,1.146128036,0.00098167,
240,raspberries,14,1.146128036,0.00098167,
241,wheat flour,14,1.146128036,0.00098167,
242,black pepper,13,1.113943352,0.000950578,
243,shrimp,12,1.079181246,0.000918102,
244,chinese mushrooms,12,1.079181246,0.000918102,
245,madeira wine,12,1.079181246,0.000918102,
246,pastry flour,12,1.079181246,0.000918102,
247,string beans,12,1.079181246,0.000918102,
248,stick,12,1.079181246,0.000918102,
249,wine,12,1.079181246,0.000918102,
250,lean beef,12,1.079181246,0.000918102,
251,condensed milk,12,1.079181246,0.000918102,
252,marmalade,12,1.079181246,0.000918102,
253,maple,12,1.079181246,0.000918102,
254,cream cheese,12,1.079181246,0.000918102,
255,coconut,12,1.079181246,0.000918102,
256,cucumber,12,1.079181246,0.000918102,
257,tart,12,1.079181246,0.000918102,
258,walnut,12,1.079181246,0.000918102,
259,seedless raisins,12,1.079181246,0.000918102,
260,english,11,1.041392685,0.000884056,
261,black,11,1.041392685,0.000884056,
262,red pepper,11,1.041392685,0.000884056,
263,strawberry,11,1.041392685,0.000884056,
264,blanched almonds,11,1.041392685,0.000884056,
265,white pepper,11,1.041392685,0.000884056,
266,canned,11,1.041392685,0.000884056,
267,walnut meats,11,1.041392685,0.000884056,
268,vanila,10,1,0.000848209,
269,whiskey,10,1,0.000848209,
270,ginger root,10,1,0.000848209,
271,pineapple juice,10,1,0.000848209,
272,crab meat,10,1,0.000848209,
273,white onions,10,1,0.000848209,
274,tea,10,1,0.000848209,
275,charged,10,1,0.000848209,
276,tea infusion,10,1,0.000848209,
277,potato,10,1,0.000848209,
278,sherbet,10,1,0.000848209,
279,fruit,10,1,0.000848209,
280,berries,10,1,0.000848209,
281,granulated gelatin,10,1,0.000848209,
282,pecan,10,1,0.000848209,
283,brown,10,1,0.000848209,
284,water cress,10,1,0.000848209,
285,dry,10,1,0.000848209,
286,soft,10,1,0.000848209,
287,cooked tomatoes,10,1,0.000848209,
288,lima beans,10,1,0.000848209,
289,peanut butter,10,1,0.000848209,
290,no,10,1,0.000848209,
291,tomato,10,1,0.000848209,
292,chicken stock,10,1,0.000848209,
293,raspberry,10,1,0.000848209,
294,powdered cloves,9,0.954242509,0.000810272,
295,yolk of,9,0.954242509,0.000810272,
296,barley,9,0.954242509,0.000810272,
297,blanched,9,0.954242509,0.000810272,
298,celery salt,9,0.954242509,0.000810272,
299,mint,9,0.954242509,0.000810272,
300,candied cherries,9,0.954242509,0.000810272,
301,seeded,9,0.954242509,0.000810272,
302,peas,9,0.954242509,0.000810272,
303,beets,9,0.954242509,0.000810272,
304,macaroni,9,0.954242509,0.000810272,
305,white stock,9,0.954242509,0.000810272,
306,cooked potatoes,9,0.954242509,0.000810272,
307,raw,9,0.954242509,0.000810272,
308,powdered mace,8,0.903089987,0.000769867,
309,seeded raisins,8,0.903089987,0.000769867,
310,pineapple syrup,8,0.903089987,0.000769867,
311,meat,8,0.903089987,0.000769867,
312,catsup,8,0.903089987,0.000769867,
313,canned tomatoes,8,0.903089987,0.000769867,
314,graham,8,0.903089987,0.000769867,
315,chinese ham dice,8,0.903089987,0.000769867,
316,bean cake,8,0.903089987,0.000769867,
317,salted almonds,8,0.903089987,0.000769867,
318,white nuts,8,0.903089987,0.000769867,
319,fried noodles,8,0.903089987,0.000769867,
320,english walnuts,8,0.903089987,0.000769867,
321,white raisins,8,0.903089987,0.000769867,
322,coffeecup,8,0.903089987,0.000769867,
323,spice,8,0.903089987,0.000769867,
324,marjoram,8,0.903089987,0.000769867,
325,", ",8,0.903089987,0.000769867,
326,cream of,8,0.903089987,0.000769867,
327,rye,8,0.903089987,0.000769867,
328,amonia,8,0.903089987,0.000769867,
329,tomato paste,8,0.903089987,0.000769867,
330,ginger ale,8,0.903089987,0.000769867,
331,tomato sauce,8,0.903089987,0.000769867,
332,cooking oil,8,0.903089987,0.000769867,
333,fish,8,0.903089987,0.000769867,
334,salt codfish,8,0.903089987,0.000769867,
335,pumpkin,8,0.903089987,0.000769867,
336,peach,8,0.903089987,0.000769867,
337,pulp,8,0.903089987,0.000769867,
338,blueberries,8,0.903089987,0.000769867,
339,cake,8,0.903089987,0.000769867,
340,grapefruit,8,0.903089987,0.000769867,
341,allspice berries,8,0.903089987,0.000769867,
342,almond paste,8,0.903089987,0.000769867,
343,butterscotch,8,0.903089987,0.000769867,
344,flavoring,8,0.903089987,0.000769867,
345,boiled frosting,8,0.903089987,0.000769867,
346,bitter chocolate,8,0.903089987,0.000769867,
347,bitter,8,0.903089987,0.000769867,
348,boiled,8,0.903089987,0.000769867,
349,french,8,0.903089987,0.000769867,
350,asparagus,8,0.903089987,0.000769867,
351,chervil,8,0.903089987,0.000769867,
352,bread flour,8,0.903089987,0.000769867,
353,chopped nut meats,7,0.84509804,0.00072649,
354,yolks of,7,0.84509804,0.00072649,
355,oatmeal,7,0.84509804,0.00072649,
356,whole wheat flour,7,0.84509804,0.00072649,
357,black coffee,7,0.84509804,0.00072649,
358,boiled potatoes,7,0.84509804,0.00072649,
359,rye flour,7,0.84509804,0.00072649,
360,powdered cinnamon,6,0.77815125,0.000679447,
361,hickory,6,0.77815125,0.000679447,
362,raw mutton,6,0.77815125,0.000679447,
363,cup,6,0.77815125,0.000679447,
364,shelled pecans,6,0.77815125,0.000679447,
365,boiled coffee,6,0.77815125,0.000679447,
366,baker ' s chocolate,6,0.77815125,0.000679447,
367,pearl tapioca,6,0.77815125,0.000679447,
368,hard boiled eggs,6,0.77815125,0.000679447,
369,banana,6,0.77815125,0.000679447,
370,red cherries,6,0.77815125,0.000679447,
371,orange peel,6,0.77815125,0.000679447,
372,lemon jello,6,0.77815125,0.000679447,
373,yellow cornmeal,6,0.77815125,0.000679447,
374,savory,6,0.77815125,0.000679447,
375,chili powder,6,0.77815125,0.000679447,
376,tamale,6,0.77815125,0.000679447,
377,crackers,6,0.77815125,0.000679447,
378,shrimps,6,0.77815125,0.000679447,
379,crabs,6,0.77815125,0.000679447,
380,vegetables,6,0.77815125,0.000679447,
381,bayleaf,6,0.77815125,0.000679447,
382,chili sauce,6,0.77815125,0.000679447,
383,chives,6,0.77815125,0.000679447,
384,lean pork,6,0.77815125,0.000679447,
385,pep,6,0.77815125,0.000679447,
386,pine,6,0.77815125,0.000679447,
387,white of,6,0.77815125,0.000679447,
388,cream of tar,6,0.77815125,0.000679447,
389,al,6,0.77815125,0.000679447,
390,blackberry jam,6,0.77815125,0.000679447,
391,nutmegs,6,0.77815125,0.000679447,
392,canned corn,6,0.77815125,0.000679447,
393,knuckle,6,0.77815125,0.000679447,
394,okra,6,0.77815125,0.000679447,
395,winter wheat,6,0.77815125,0.000679447,
396,powder sugar,6,0.77815125,0.000679447,
397,syrup,6,0.77815125,0.000679447,
398,madeira,6,0.77815125,0.000679447,
399,red wine,6,0.77815125,0.000679447,
400,curry powder,6,0.77815125,0.000679447,
401,american cheese,6,0.77815125,0.000679447,
402,ripe tomatoes,6,0.77815125,0.000679447,
403,red peppers,6,0.77815125,0.000679447,
404,beet,6,0.77815125,0.000679447,
405,white mustard,6,0.77815125,0.000679447,
406,whole cloves,6,0.77815125,0.000679447,
407,eggnog,6,0.77815125,0.000679447,
408,white grapes,6,0.77815125,0.000679447,
409,grated pineapple,6,0.77815125,0.000679447,
410,sugar sirup,6,0.77815125,0.000679447,
411,boiled ham,6,0.77815125,0.000679447,
412,grape jelly,6,0.77815125,0.000679447,
413,drippings,6,0.77815125,0.000679447,
414,duck,6,0.77815125,0.000679447,
415,swiss cheese,6,0.77815125,0.000679447,
416,sweet potatoes,6,0.77815125,0.000679447,
417,white grape - juice,6,0.77815125,0.000679447,
418,cranberry,6,0.77815125,0.000679447,
419,french chestnuts,6,0.77815125,0.000679447,
420,#NAME?,6,0.77815125,0.000679447,
421,tapioca,6,0.77815125,0.000679447,
422,macaroons,6,0.77815125,0.000679447,
423,peppermint,6,0.77815125,0.000679447,
424,meats,6,0.77815125,0.000679447,
425,sour,6,0.77815125,0.000679447,
426,moist,6,0.77815125,0.000679447,
427,applesauce,6,0.77815125,0.000679447,
428,clove,6,0.77815125,0.000679447,
429,capers,6,0.77815125,0.000679447,
430,raw cabbage,6,0.77815125,0.000679447,
431,fried tomatoes,6,0.77815125,0.000679447,
432,cottage cheese,6,0.77815125,0.000679447,
433,stewed tomatoes,6,0.77815125,0.000679447,
434,top,6,0.77815125,0.000679447,
435,thin,6,0.77815125,0.000679447,
436,currant jelly,6,0.77815125,0.000679447,
437,drawn,6,0.77815125,0.000679447,
438,cooked chicken,6,0.77815125,0.000679447,
439,strained tomatoes,6,0.77815125,0.000679447,
440,bay leaf,6,0.77815125,0.000679447,
441,lima,6,0.77815125,0.000679447,
442,pimiento,6,0.77815125,0.000679447,
443,powdered allspice,5,0.698970004,0.000627722,
444,extract,5,0.698970004,0.000627722,
445,cod,5,0.698970004,0.000627722,
446,english walnut meats,5,0.698970004,0.000627722,
447,eggplant,5,0.698970004,0.000627722,
448,noodles,5,0.698970004,0.000627722,
449,shredded,5,0.698970004,0.000627722,
450,spices,5,0.698970004,0.000627722,
451,white wine,5,0.698970004,0.000627722,
452,pimientos,5,0.698970004,0.000627722,
453,tart apples,5,0.698970004,0.000627722,
454,scalded milk,5,0.698970004,0.000627722,
455,baked tomatoes,5,0.698970004,0.000627722,
456,cooked fish,5,0.698970004,0.000627722,
457,button,5,0.698970004,0.000627722,
458,lobster,5,0.698970004,0.000627722,
459,lentils,4,0.602059991,0.000569744,
460,green toma,4,0.602059991,0.000569744,
461,boiling,4,0.602059991,0.000569744,
462,candied orange peel,4,0.602059991,0.000569744,
463,haddock,4,0.602059991,0.000569744,
464,macaroni rings,4,0.602059991,0.000569744,
465,marrow,4,0.602059991,0.000569744,
466,liquid,4,0.602059991,0.000569744,
467,whole wheat,4,0.602059991,0.000569744,
468,coco,4,0.602059991,0.000569744,
469,white corn syrup,4,0.602059991,0.000569744,
470,red hot sauce,4,0.602059991,0.000569744,
471,tomato catsup,4,0.602059991,0.000569744,
472,hen,4,0.602059991,0.000569744,
473,ground meat,4,0.602059991,0.000569744,
474,broth,4,0.602059991,0.000569744,
475,boiled eggs,4,0.602059991,0.000569744,
476,condensed mushroom soup,4,0.602059991,0.000569744,
477,oleo,4,0.602059991,0.000569744,
478,pimento,4,0.602059991,0.000569744,
479,yellow cheese,4,0.602059991,0.000569744,
480,fruit cocktail,4,0.602059991,0.000569744,
481,wesson,4,0.602059991,0.000569744,
482,sparkling gelatine,4,0.602059991,0.000569744,
483,bavarian,4,0.602059991,0.000569744,
484,corn syrup,4,0.602059991,0.000569744,
485,chocolate cream,4,0.602059991,0.000569744,
486,mousse,4,0.602059991,0.000569744,
487,fruit sherbet,4,0.602059991,0.000569744,
488,jellied,4,0.602059991,0.000569744,
489,eagle brand,4,0.602059991,0.000569744,
490,sliced pineapple,4,0.602059991,0.000569744,
491,black walnuts,4,0.602059991,0.000569744,
492,creamed,4,0.602059991,0.000569744,
493,nutmeats,4,0.602059991,0.000569744,
494,tomato soup,4,0.602059991,0.000569744,
495,tomato pulp,4,0.602059991,0.000569744,
496,baked beans,4,0.602059991,0.000569744,
497,codfish,4,0.602059991,0.000569744,
498,luke,4,0.602059991,0.000569744,
499,entire wheat flour,4,0.602059991,0.000569744,
500,red vinegar,4,0.602059991,0.000569744,
501,ginger root juice,4,0.602059991,0.000569744,
502,spicery powder,4,0.602059991,0.000569744,
503,fungus,4,0.602059991,0.000569744,
504,sour ginger,4,0.602059991,0.000569744,
505,bell,4,0.602059991,0.000569744,
506,dry bread crumbs,4,0.602059991,0.000569744,
507,hamburg steak,4,0.602059991,0.000569744,
508,fine,4,0.602059991,0.000569744,
509,dry bread,4,0.602059991,0.000569744,
510,clams,4,0.602059991,0.000569744,
511,heinz chili sauce,4,0.602059991,0.000569744,
512,cin,4,0.602059991,0.000569744,
513,cut,4,0.602059991,0.000569744,
514,cracker,4,0.602059991,0.000569744,
515,pineapple cream,4,0.602059991,0.000569744,
516,graham cracker crumbs,4,0.602059991,0.000569744,
517,seed,4,0.602059991,0.000569744,
518,stoned dates,4,0.602059991,0.000569744,
519,rolled oats,4,0.602059991,0.000569744,
520,rose,4,0.602059991,0.000569744,
521,mashed,4,0.602059991,0.000569744,
522,namon,4,0.602059991,0.000569744,
523,saleratus,4,0.602059991,0.000569744,
524,granul,4,0.602059991,0.000569744,
525,champagne,4,0.602059991,0.000569744,
526,claret,4,0.602059991,0.000569744,
527,egg white,4,0.602059991,0.000569744,
528,sweet butter,4,0.602059991,0.000569744,
529,grated orange rind,4,0.602059991,0.000569744,
530,leaves,4,0.602059991,0.000569744,
531,shallots,4,0.602059991,0.000569744,
532,rump,4,0.602059991,0.000569744,
533,marsala wine,4,0.602059991,0.000569744,
534,cooking fat,4,0.602059991,0.000569744,
535,bouillon,4,0.602059991,0.000569744,
536,raw smoked ham,4,0.602059991,0.000569744,
537,potato balls,4,0.602059991,0.000569744,
538,tomato catchup,4,0.602059991,0.000569744,
539,boiled beets,4,0.602059991,0.000569744,
540,steak,4,0.602059991,0.000569744,
541,cooked beets,4,0.602059991,0.000569744,
542,watermelon,4,0.602059991,0.000569744,
543,pears,4,0.602059991,0.000569744,
544,plums,4,0.602059991,0.000569744,
545,turmeric,4,0.602059991,0.000569744,
546,evaporated milk,4,0.602059991,0.000569744,
547,mashed strawberries,4,0.602059991,0.000569744,
548,lemonade,4,0.602059991,0.000569744,
549,cold strong coffee,4,0.602059991,0.000569744,
550,swiss,4,0.602059991,0.000569744,
551,meat stock,4,0.602059991,0.000569744,
552,pork liver,4,0.602059991,0.000569744,
553,crab,4,0.602059991,0.000569744,
554,#NAME?,4,0.602059991,0.000569744,
555,grapes,4,0.602059991,0.000569744,
556,sour apples,4,0.602059991,0.000569744,
557,cider vinegar,4,0.602059991,0.000569744,
558,prepared,4,0.602059991,0.000569744,
559,plain pastry,4,0.602059991,0.000569744,
560,choco,4,0.602059991,0.000569744,
561,candied fruit,4,0.602059991,0.000569744,
562,vanilla ice cream,4,0.602059991,0.000569744,
563,rose extract,4,0.602059991,0.000569744,
564,rennet,4,0.602059991,0.000569744,
565,caramel cream,4,0.602059991,0.000569744,
566,beef suet,4,0.602059991,0.000569744,
567,ground nuts,4,0.602059991,0.000569744,
568,maraschino,4,0.602059991,0.000569744,
569,popped,4,0.602059991,0.000569744,
570,cooking,4,0.602059991,0.000569744,
571,pecan meats,4,0.602059991,0.000569744,
572,raisin,4,0.602059991,0.000569744,
573,caraway seeds,4,0.602059991,0.000569744,
574,rhubarb,4,0.602059991,0.000569744,
575,mixed fruit,4,0.602059991,0.000569744,
576,mocha,4,0.602059991,0.000569744,
577,jelly,4,0.602059991,0.000569744,
578,jam,4,0.602059991,0.000569744,
579,fruit juice,4,0.602059991,0.000569744,
580,cold coffee,4,0.602059991,0.000569744,
581,cottage,4,0.602059991,0.000569744,
582,grapefruit pulp,4,0.602059991,0.000569744,
583,canned pineapple,4,0.602059991,0.000569744,
584,nut - meats,4,0.602059991,0.000569744,
585,walnut - meats,4,0.602059991,0.000569744,
586,plum,4,0.602059991,0.000569744,
587,stewed,4,0.602059991,0.000569744,
588,raw carrot,4,0.602059991,0.000569744,
589,cooked spinach,4,0.602059991,0.000569744,
590,egg - yolks,4,0.602059991,0.000569744,
591,boiled spinach,4,0.602059991,0.000569744,
592,worcestershire,4,0.602059991,0.000569744,
593,bacon fat,4,0.602059991,0.000569744,
594,poultry seasoning,4,0.602059991,0.000569744,
595,yellow corn - meal,4,0.602059991,0.000569744,
596,candied fruits,4,0.602059991,0.000569744,
597,shallot,4,0.602059991,0.000569744,
598,beef extract,4,0.602059991,0.000569744,
599,horse,4,0.602059991,0.000569744,
600,butter sauce,4,0.602059991,0.000569744,
601,lean raw ham,4,0.602059991,0.000569744,
602,goose,4,0.602059991,0.000569744,
603,granulated tapioca,4,0.602059991,0.000569744,
604,split peas,4,0.602059991,0.000569744,
605,tabasco sauce,4,0.602059991,0.000569744,
606,anchovy,4,0.602059991,0.000569744,
607,orange extract,3,0.477121255,0.000502828,
608,chopped,3,0.477121255,0.000502828,
609,sweet cream,3,0.477121255,0.000502828,
610,brussels sprouts,3,0.477121255,0.000502828,
611,bak,3,0.477121255,0.000502828,
612,baked,3,0.477121255,0.000502828,
613,sour apple,3,0.477121255,0.000502828,
614,shelled peas,3,0.477121255,0.000502828,
615,apple sauce,3,0.477121255,0.000502828,
616,stewed rhubarb,3,0.477121255,0.000502828,
617,boiled macaroni,3,0.477121255,0.000502828,
618,corn fritters,3,0.477121255,0.000502828,
619,toast,3,0.477121255,0.000502828,
620,hot,3,0.477121255,0.000502828,
621,gluten flour,3,0.477121255,0.000502828,
622,bran,3,0.477121255,0.000502828,
623,thick cream,3,0.477121255,0.000502828,
624,golden syrup,3,0.477121255,0.000502828,
625,halibut,3,0.477121255,0.000502828,
626,strong coffee,3,0.477121255,0.000502828,
627,toasted,3,0.477121255,0.000502828,
628,eggplants,3,0.477121255,0.000502828,
629,anchovies,3,0.477121255,0.000502828,
630,sponge cake crumbs,3,0.477121255,0.000502828,
631,mincemeat,3,0.477121255,0.000502828,
632,oil of,3,0.477121255,0.000502828,
633,caramels,3,0.477121255,0.000502828,
634,apple fritters,3,0.477121255,0.000502828,
635,whipped,3,0.477121255,0.000502828,
636,artichokes,3,0.477121255,0.000502828,
637,fresh tomatoes,3,0.477121255,0.000502828,
638,strained,3,0.477121255,0.000502828,
